radius_km,alpha,fold,period,status,n_train,n_val,macro_spearman,macro_nmae,intercept,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
1.0,0.0,1,weekday_morning,ok,2033,496,0.1307423468028075,0.7361014985877361,0.17805570194020384,4.656891070765144e-11,3.9226084378613146e-14,0.008047734623510099,0.008026509811703417,0.015955299247646628,1.854998790514819e-21
1.0,0.0,1,weekday_evening,ok,2033,496,0.13767890796427026,0.7362312371405153,0.23059449603921875,0.0004818000456030231,1.861442967995626e-15,0.007253857217068204,0.011675501865292058,0.012854977691882869,7.022354050320798e-29
1.0,0.0,1,weekend_midday,ok,2033,496,0.10449491217193518,0.6914849257152595,0.221384542825481,4.889378193514159e-16,0.001448569772783722,0.006131460266637496,0.017755188040153237,0.02716345154994154,7.680517504781744e-24
1.0,0.0,1,weekend_evening,ok,2033,496,0.1113933807663087,0.7199363576937654,0.25365259469496393,0.0006401743792158719,0.0005607582778519886,0.008660373400361679,0.012383433817355243,0.01139575859210906,1.0729569171151102e-21
1.0,0.0,2,weekday_morning,ok,2007,522,0.07142816940803272,0.7141589622896172,0.17252301134997497,0.00014065575262047218,1.8408998626850646e-14,0.001828534906584872,0.0032801851500483758,0.017919277650719833,0.0027887191750840448
1.0,0.0,2,weekday_evening,ok,2007,522,0.05680741198452371,0.6558245273836506,0.22367273935074006,2.3128262822395582e-07,4.238975791689179e-32,0.0015067207651868714,0.010895664169645797,0.010325865704245984,0.0003757229405417311
1.0,0.0,2,weekend_midday,ok,2007,522,0.03342527304673506,0.7051980244282641,0.2169674527911412,1.1860023172427161e-17,7.992550844196236e-24,2.1834735746598212e-23,0.01561098202362099,0.02607322701104195,0.002122973165501806
1.0,0.0,2,weekend_evening,ok,2007,522,0.05970103523697199,0.6728063226691848,0.24552241870498975,5.262695684008213e-12,2.2707842674643472e-19,0.0032287666321648145,0.010127087483664069,0.011515991353127905,0.0027129452813846986
1.0,0.0,3,weekday_morning,ok,2051,478,0.033906771667006265,0.7541713785841485,0.17115668332342446,2.713660749141966e-17,3.2034883486576425e-21,0.011111076686139148,0.011758283507930617,0.010920123046527242,0.0036592243916241914
1.0,0.0,3,weekday_evening,ok,2051,478,-0.031266269855366534,0.7081788149965087,0.22029976974376766,6.624992958462149e-15,9.324565126914199e-21,0.011467130618899275,0.018214665795942227,0.0057776335640684255,0.001909224961213757
