run_key,status,fold,province,block_id,local_passes,candidate_count,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
local|1|hue|0|0,ok,1,hue,0,0,58,3,3,0.12216461287186238,0.06511409207653296,0.06497654406071637,0.159961523541247,0.8503074038224057,2.843548614219949,11.98266998189707,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,17.020688951410165,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,65,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,8.077693331055492,0.005477444000007381
local|1|hue|0|1,ok,1,hue,0,1,58,3,3,0.12216461287186238,0.06511409207653296,0.06497654406071637,0.159961523541247,0.8503074038224057,2.843548614219949,11.98266998189707,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,17.020688951410165,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,65,3,0,165,True,True,True,True,True,True,True,True,0.5164276250936046,8.077693331055492,0.0417251670000951
local|1|hue|0|3,ok,1,hue,0,3,58,3,3,0.12216461287186238,0.06511409207653296,0.06497654406071637,0.159961523541247,0.8503074038224057,2.843548614219949,11.98266998189707,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,17.020688951410165,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,65,3,0,165,True,True,True,True,True,True,True,True,0.5164276250936046,8.077693331055492,0.0445581779999884
local|1|hue|1|0,ok,1,hue,1,0,65,4,4,0.3534371796396797,0.24498722717519278,0.4073907855816149,0.08302542524499187,0.9230100291291723,3.3800925447142336,10.371848356057054,0.8231808567222755,0.7301148558367669,0.14008644079241592,0.0813764328276923,0.3909698936582128,0.3333333333333333,6.06025703041971,0.39881973656479697,0.49730603741202384,0.7892522128345287,0.3512525282701395,0.1636345161847914,0.4953674976140762,122,4,0,0,True,True,True,True,True,True,True,True,0.7301148558367669,9.38410325386747,0.010900409999976546
local|1|hue|1|1,ok,1,hue,1,1,65,4,4,0.3537745952167114,0.24893537363685164,0.4018534268976387,0.08534370553750059,0.9218178914796906,3.367403056655765,10.371848356057054,0.8143789693597796,0.6835372357450616,0.14906568171148082,0.0813764328276923,0.3909698936582128,0.3333333333333333,6.038286861469762,0.39881973656479697,0.49730603741202384,0.7892522128345287,0.37376706327386544,0.1636345161847914,0.4953674976140762,122,4,1,244,True,True,True,True,True,True,True,True,0.6835372357450616,9.38410325386747,0.10284954200005814
local|1|hue|1|3,ok,1,hue,1,3,65,4,4,0.3537745952167114,0.24893537363685164,0.4018534268976387,0.08534370553750059,0.9218178914796906,3.367403056655765,10.371848356057054,0.8143789693597796,0.6835372357450616,0.14906568171148082,0.0813764328276923,0.3909698936582128,0.3333333333333333,6.038286861469762,0.39881973656479697,0.49730603741202384,0.7892522128345287,0.37376706327386544,0.1636345161847914,0.4953674976140762,122,4,1,488,True,True,True,True,True,True,True,True,0.6835372357450616,9.38410325386747,0.14194402599991918
local|1|hungyen|0|0,ok,1,hungyen,0,0,138,7,7,0.11862849054530575,0.05990064352887404,0.0979631382456757,0.22266652263908007,0.799333973710465,2.853682261880339,10.833760296500687,0.04329004329004329,0.5526259325685543,0.10057497261252593,0.15862363326718754,0.24185174791694253,0.2222222222222222,6.442669424518358,0.10694894515472844,0.16551683650939625,0.25977048315560475,0.9404017259545574,0.9583534618738475,0.9310208957500042,145,7,0,0,True,True,True,True,True,True,True,True,0.5526259325685543,1.704568238893715,0.01144249399999353
local|1|hungyen|0|1,ok,1,hungyen,0,1,138,7,7,0.11862849054530575,0.05990064352887404,0.0979631382456757,0.22266652263908007,0.799333973710465,2.853682261880339,10.833760296500687,0.04329004329004329,0.5526259325685543,0.10057497261252593,0.15862363326718754,0.24185174791694253,0.2222222222222222,6.442669424518358,0.10694894515472844,0.16551683650939625,0.25977048315560475,0.9404017259545574,0.9583534618738475,0.9310208957500042,145,7,0,700,True,True,True,True,True,True,True,True,0.5526259325685543,1.704568238893715,0.1670730729999832
local|1|hungyen|0|3,ok,1,hungyen,0,3,138,7,7,0.11862849054530575,0.05990064352887404,0.0979631382456757,0.22266652263908007,0.799333973710465,2.853682261880339,10.833760296500687,0.04329004329004329,0.5526259325685543,0.10057497261252593,0.15862363326718754,0.24185174791694253,0.2222222222222222,6.442669424518358,0.10694894515472844,0.16551683650939625,0.25977048315560475,0.9404017259545574,0.9583534618738475,0.9310208957500042,145,7,0,700,True,True,True,True,True,True,True,True,0.5526259325685543,1.704568238893715,0.16367816299998594
local|1|hungyen|1|0,ok,1,hungyen,1,0,177,9,9,0.22040454181843716,0.09718377420924385,0.28182544974469936,0.21684742051136363,0.8017362696682473,2.8864994159034385,10.508577637973723,0.17811910838697326,0.5353316577481446,0.2273267457357626,0.30533978048492116,0.3796826730491485,0.5,5.5379603584814525,0.5772965826660911,0.5975303800738792,0.6465385921566069,0.39377809008657966,0.5110029392098335,0.5872544619226386,500,9,0,0,True,True,True,True,True,True,True,True,0.5353316577481446,5.698192696093921,0.03937262799991004
