run_key,status,fold,province,block_id,service_radius,sigma_ratio,tau,candidate_count,poi_count,hidden_stations,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
service|1|hue|0|1.5|0.35|0.5,ok,1,hue,0,1.5,0.35,0.5,56,614,14,3,3,0.11361299972782575,0.08260991221573231,0.019691566735660825,0.15748362629743076,0.8565463787853751,3.1459629538098675,12.12289291122883,0.0,12.020040323960096,0.005899041443131904,0.0,0.0684866390469188,0.0,13.199442721462617,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,59,3,0,0,True,True,True,True,True,True,True,True,12.020040323960096,1.1253093682260604,0.005464384000106293
service|1|hue|0|1.5|0.35|1.0,ok,1,hue,0,1.5,0.35,1.0,56,614,14,3,3,0.0721902184398,0.08583087980953805,0.019691566735660825,0.1570103934715961,0.8565027646511845,3.1496149641298503,12.12289291122883,0.0,11.573106492874519,0.005899041443131904,0.0,0.0684866390469188,0.0,13.17312041626741,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,58,3,0,0,True,True,True,True,True,True,True,True,11.573106492874519,0.9201005040354377,0.0061198169998988305
service|1|hue|0|1.5|0.35|2.0,ok,1,hue,0,1.5,0.35,2.0,56,614,14,3,3,0.04150435526295741,0.08643037059539291,0.019691566735660825,0.15623838986313074,0.8568661910827404,3.1546745746790146,12.12289291122883,0.0,11.271828303571445,0.005899041443131904,0.0,0.0684866390469188,0.0,13.184271238732595,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,59,3,0,0,True,True,True,True,True,True,True,True,11.271828303571445,0.6354549299986959,0.004395803000079468
service|1|hue|0|1.5|0.5|0.5,ok,1,hue,0,1.5,0.5,0.5,56,614,14,3,3,0.1349223387448749,0.08260991221573231,0.019691566735660825,0.15748362629743076,0.8565463787853751,3.1459629538098675,12.12289291122883,0.0,12.020040323960096,0.005899041443131904,0.0,0.0684866390469188,0.0,13.199442721462617,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,63,3,0,0,True,True,True,True,True,True,True,True,12.020040323960096,1.1253093682260604,0.004711198999984845
service|1|hue|0|1.5|0.5|1.0,ok,1,hue,0,1.5,0.5,1.0,56,614,14,3,3,0.09267584284853402,0.08650700816286969,0.01931453460469701,0.15025433140053804,0.8630403899853702,3.17237059746042,12.12289291122883,0.2430806257521059,1.227532018261944,0.005899041443131904,0.0,0.0684866390469188,0.0,13.018438616628782,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,61,3,0,0,True,True,True,True,True,True,True,True,1.227532018261944,1.0291143513511467,0.006215384000142876
service|1|hue|0|1.5|0.5|2.0,ok,1,hue,0,1.5,0.5,2.0,56,614,14,3,3,0.0566087654624283,0.08432394140712521,0.01914870348741313,0.14907381164792805,0.8635329302250307,3.183992806511913,12.12289291122883,0.24710830704521558,0.7742920527996157,0.005899041443131904,0.0,0.0684866390469188,0.0,13.304049472282106,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,61,3,0,0,True,True,True,True,True,True,True,True,0.7742920527996157,0.6354549299986959,0.004436791999978595
service|1|hue|0|1.5|0.75|0.5,ok,1,hue,0,1.5,0.75,0.5,56,614,14,3,3,0.15152108891983204,0.06103305708782707,0.07104161515325283,0.17248620462411932,0.8376337407543744,2.7561282809406977,11.98266998189707,0.0,13.075904235476907,0.005899041443131904,0.0,0.0684866390469188,0.0,17.33997927133468,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,62,3,0,0,True,True,True,True,True,True,True,True,13.075904235476907,3.8191244982775485,0.005163939999874856
service|1|hue|0|1.5|0.75|1.0,ok,1,hue,0,1.5,0.75,1.0,56,614,14,3,3,0.10612185192546872,0.08252250452461034,0.0295551847861335,0.14666500958607864,0.8649194780696314,3.1860699380015554,12.12289291122883,0.3333333333333333,0.5164276250936046,0.023405820023531584,0.0,0.11667337649208295,0.0,13.218923246543444,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.38561859481872435,0.0,1.0,67,3,0,0,True,True,True,True,True,True,True,True,0.5164276250936046,0.9201005040354377,0.004962091999914264
service|1|hue|0|1.5|0.75|2.0,ok,1,hue,0,1.5,0.75,2.0,56,614,14,3,3,0.07143365301210713,0.08647111837032137,0.01931453460469701,0.1488229513113082,0.8636142398632771,3.179705850887,12.12289291122883,0.2546448087431694,0.8244564525787772,0.005899041443131904,0.0,0.0684866390469188,0.0,13.042536236036716,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,63,3,0,0,True,True,True,True,True,True,True,True,0.8244564525787772,0.9201005040354377,0.00472330200000215
service|1|hue|0|2.5|0.35|0.5,ok,1,hue,0,2.5,0.35,0.5,56,614,14,3,3,0.13569333266986272,0.07839539977730137,0.02787345045800436,0.16096660054793557,0.852498802021975,3.0853368968773855,12.12289291122883,0.0,31.90056226461386,0.005899041443131904,0.0,0.0684866390469188,0.0,13.4391996453188,0.06069681373776707,0.0684866390469188,0.11667337649208295,0.09718865093344058,0.0,0.586994574992574,62,3,0,0,True,True,True,True,True,True,True,True,31.90056226461386,1.3504646343634994,0.004898869000044215
