run_key,status,province,block_id,budget_fraction,budget_k,method,candidate_count,hidden_stations,robustness_family,temporal_condition,excluded_local_date,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds,swaps,local_evaluations
|temporal_lodo|full_reaggregated|hanoi|0|B5_static_coverage,ok,hanoi,0,0.05,36,B5_static_coverage,719,225,temporal_lodo,full_reaggregated,,36,0.6210292558727853,0.337440903126092,0.4367964684920544,0.27183206257151954,0.7550792171942302,2.3120785500633683,10.131288678115846,0.06996664779726915,0.5403140491225615,0.19103423155279503,0.2225080994903608,0.3999387842402503,0.3684210526315789,6.779233889638187,0.5978335733474047,0.6648785399063778,0.8262275224159259,0.31954416759023985,0.3346597703720327,0.4840540570118163,4391,36,True,True,True,True,True,True,True,True,0.5403140491225615,3.142293708139493,0.7131590660001166,,
|temporal_lodo|full_reaggregated|hanoi|0|B6_evspark_cover,ok,hanoi,0,0.05,36,B6_evspark_cover,719,225,temporal_lodo,full_reaggregated,,36,0.6304353471825705,0.32483875826731595,0.401928651774992,0.2692466371879929,0.7560713951970857,1.8995878758741584,6.080674149035105,0.06366388787264074,0.5069970206826645,0.19773339413076793,0.23141629421088408,0.4535644160424817,0.45614035087719296,5.023404345626638,0.5978335733474047,0.6648785399063778,0.8262275224159259,0.3307498992129434,0.3480579990496761,0.5489582514949868,4417,36,True,True,True,True,True,True,True,True,0.5069970206826645,5.634083405707175,0.6946003959997142,0.0,0.0
|temporal_lodo|full_reaggregated|hanoi|1|B5_static_coverage,ok,hanoi,1,0.05,32,B5_static_coverage,631,75,temporal_lodo,full_reaggregated,,32,0.0015319563413686453,0.13961411514231636,0.48592099713815634,0.36967595495614153,0.6702837328866309,1.5669822630161518,5.438249740528249,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,21.027969570328132,0.2077970248518459,0.2244994233554793,0.3762448882426786,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.576237219000177,,
|temporal_lodo|full_reaggregated|hanoi|1|B6_evspark_cover,ok,hanoi,1,0.05,32,B6_evspark_cover,631,75,temporal_lodo,full_reaggregated,,32,0.26855452404841335,0.02552592156425367,0.06662270463068908,0.4413409573955262,0.607006755042633,0.9873934303877914,2.3310815106185565,0.02947262949484621,0.5468427458034067,0.18553438693297916,0.2078692086108429,0.3492502320127518,0.21052631578947367,3.8918197384418636,0.2077970248518459,0.2244994233554793,0.3762448882426786,0.8928635386635615,0.9259231293511895,0.9282524306017542,715,32,True,True,True,True,True,True,True,True,0.5468427458034067,0.7964293735622842,0.08969049100005577,0.0,0.0
|temporal_lodo|full_reaggregated|hanoi|2|B5_static_coverage,ok,hanoi,2,0.05,32,B5_static_coverage,631,60,temporal_lodo,full_reaggregated,,32,0.0015143267164497087,0.13961411514231636,0.5111976050610381,0.4285459708543888,0.618086208251617,1.945185950002247,11.195857222815281,0.07502223684052774,0.5333075322818357,0.0,0.0,0.0,0.0,25.85494316173642,0.19987370345472213,0.2078030700258836,0.507359767636235,0.0,0.0,0.0,3653,32,True,True,True,True,True,True,True,True,0.5333075322818357,0.2732813175434347,0.6420153720000599,,
|temporal_lodo|full_reaggregated|hanoi|2|B6_evspark_cover,ok,hanoi,2,0.05,32,B6_evspark_cover,631,60,temporal_lodo,full_reaggregated,,32,0.29849240483892536,0.026262677247104613,0.056365672003924186,0.5093958574603379,0.5469340292084568,0.9660145105192381,2.2366762783507093,0.018877289078399917,0.8230363822913537,0.173781099023743,0.18046320685524914,0.47051331510573124,0.7333333333333333,3.4105489360089267,0.19987370345472213,0.2078030700258836,0.507359767636235,0.8694545406425115,0.8684337860493155,0.9273760852143054,706,32,True,True,True,True,True,True,True,True,0.8230363822913537,0.5349942717925547,0.08867717800012542,0.0,0.0
|temporal_lodo|full_reaggregated|hochiminh|0|B5_static_coverage,ok,hochiminh,0,0.05,49,B5_static_coverage,969,86,temporal_lodo,full_reaggregated,,49,0.3002920136947478,0.12225416124503574,0.1715846771959155,0.34392462432931376,0.6933105056811824,4.175793459810422,13.668544516182692,0.03437365333202691,0.5074513588401441,0.12915334962009659,0.14966934802781676,0.2993477521343337,0.3181818181818182,6.878008518902976,0.4593803712401222,0.5199407894435063,0.7055856603662246,0.28114686152444895,0.28785844670507227,0.4242543024173157,3935,49,True,True,True,True,True,True,True,True,0.5074513588401441,0.2621537355367528,0.5723998170001323,,
|temporal_lodo|full_reaggregated|hochiminh|0|B6_evspark_cover,ok,hochiminh,0,0.05,49,B6_evspark_cover,969,86,temporal_lodo,full_reaggregated,,49,0.5039523938539497,0.1757537245695463,0.26599871724130114,0.38923983012582397,0.6535916892863396,1.5604808363287432,6.760231890534339,0.03546178421873907,0.537514407506252,0.27264260919566885,0.30778709164207035,0.5171030036843696,0.45454545454545453,3.4578107413010155,0.4593803712401222,0.5199407894435063,0.7055856603662246,0.5935007811928389,0.5919656581886863,0.7328706246892466,1663,49,True,True,True,True,True,True,True,True,0.537514407506252,2.8650189890318716,0.18896419700013212,0.0,0.0
|temporal_lodo|full_reaggregated|hochiminh|1|B5_static_coverage,ok,hochiminh,1,0.05,55,B5_static_coverage,1087,397,temporal_lodo,full_reaggregated,,55,0.4152524554302246,0.21179952427190024,0.27840910259638685,0.2555262516477406,0.7700368752294271,3.8603014185949203,6.832857818579551,0.029335693811807655,0.500888527841632,0.15785488612416282,0.16235827623667043,0.3648751102392253,0.43,4.928743751519602,0.5980611778970086,0.6808458512987448,0.8676135006015044,0.263944378866449,0.23846554389215202,0.4205502910988158,4821,55,True,True,True,True,True,True,True,True,0.500888527841632,0.25568673924019586,0.6666338049999467,,
|temporal_lodo|full_reaggregated|hochiminh|1|B6_evspark_cover,ok,hochiminh,1,0.05,55,B6_evspark_cover,1087,397,temporal_lodo,full_reaggregated,,55,0.5022063269033092,0.21672198909372553,0.31416253105159764,0.2773464960866878,0.749521115991749,1.634231416732582,4.935047833922207,0.03283659200876489,0.500888527841632,0.20639344955326067,0.2285563687599122,0.44177079719676093,0.54,3.6634806266270954,0.5980611778970086,0.6808458512987448,0.8676135006015044,0.3451042421429391,0.3356947366631234,0.5091792565358738,5342,55,True,True,True,True,True,True,True,True,0.500888527841632,0.9248627652430644,1.7172103779998906,0.0,0.0
