province_key,eligible_candidates,pois,stations_all,stations_strict
angiang,237,1092,91,91
bacninh,265,942,109,109
camau,22,121,43,42
cantho,171,913,72,72
caobang,49,306,21,21
daklak,65,434,119,119
danang,251,2424,145,145
dienbien,7,130,18,18
dongnai,275,1626,146,146
dongthap,181,635,96,96
gialai,51,400,102,102
haiphong,173,959,143,143
hanoi,737,5072,360,360
hatinh,53,235,67,67
hochiminh,1126,8003,562,562
hue,65,614,48,48
hungyen,179,649,115,115
khanhhoa,218,1267,77,77
laichau,16,177,14,14
lamdong,172,2449,182,182
langson,24,223,30,30
laocai,43,944,74,74
nghean,64,370,85,85
ninhbinh,90,1088,133,133
phutho,71,491,203,203
quangngai,58,364,49,49
quangninh,107,562,82,82
quangtri,178,765,118,117
sonla,28,184,45,45
tayninh,71,546,106,106
thainguyen,41,250,91,91
thanhhoa,60,343,120,120
tuyenquang,55,896,57,57
vinhlong,306,607,90,90
