temporal_condition,excluded_local_date,province,metric,oriented_improvement
exclude_2026-06-16,2026-06-16,cantho,heldout_recall_2km,0.032146623937066
exclude_2026-06-16,2026-06-16,cantho,heldout_temporal_demand_capture,-0.01024886406157762
exclude_2026-06-16,2026-06-16,cantho,mean_service_distance_km,3.764187785260093
exclude_2026-06-16,2026-06-16,cantho,normalized_heldout_capture,0.23058610504197344
exclude_2026-06-16,2026-06-16,cantho,p95_service_distance_km,17.392219625965026
exclude_2026-06-16,2026-06-16,cantho,redundancy_jaccard,0.3662674348264419
exclude_2026-06-16,2026-06-16,cantho,temporal_incremental_coverage,-0.02182156015648704
exclude_2026-06-16,2026-06-16,cantho,zone_gini,0.04614696875102964
exclude_2026-06-16,2026-06-16,cantho,zone_jain,0.05103543364349539
exclude_2026-06-16,2026-06-16,danang,heldout_recall_2km,0.03355034492596448
exclude_2026-06-16,2026-06-16,danang,heldout_temporal_demand_capture,0.023993234693011553
exclude_2026-06-16,2026-06-16,danang,mean_service_distance_km,2.225379296284504
exclude_2026-06-16,2026-06-16,danang,normalized_heldout_capture,0.16642841805602865
exclude_2026-06-16,2026-06-16,danang,p95_service_distance_km,11.75077213405424
exclude_2026-06-16,2026-06-16,danang,redundancy_jaccard,0.16507372184817798
exclude_2026-06-16,2026-06-16,danang,temporal_incremental_coverage,-0.005443790891561259
exclude_2026-06-16,2026-06-16,danang,zone_gini,0.027593104254048855
exclude_2026-06-16,2026-06-16,danang,zone_jain,0.031066986493368202
exclude_2026-06-16,2026-06-16,haiphong,heldout_recall_2km,0.19242062662837264
exclude_2026-06-16,2026-06-16,haiphong,heldout_temporal_demand_capture,0.08897054637754613
exclude_2026-06-16,2026-06-16,haiphong,mean_service_distance_km,1.1142030377520424
exclude_2026-06-16,2026-06-16,haiphong,normalized_heldout_capture,0.6218269261264632
exclude_2026-06-16,2026-06-16,haiphong,p95_service_distance_km,4.1103857291506225
exclude_2026-06-16,2026-06-16,haiphong,redundancy_jaccard,0.06291708794149183
exclude_2026-06-16,2026-06-16,haiphong,temporal_incremental_coverage,0.013350280243547627
exclude_2026-06-16,2026-06-16,haiphong,zone_gini,0.014624433347312227
exclude_2026-06-16,2026-06-16,haiphong,zone_jain,0.016032047243332792
exclude_2026-06-16,2026-06-16,hanoi,heldout_recall_2km,0.29163478518637104
exclude_2026-06-16,2026-06-16,hanoi,heldout_temporal_demand_capture,0.12198892113960243
exclude_2026-06-16,2026-06-16,hanoi,mean_service_distance_km,0.6561146315914668
exclude_2026-06-16,2026-06-16,hanoi,normalized_heldout_capture,0.5918596347483969
exclude_2026-06-16,2026-06-16,hanoi,p95_service_distance_km,5.370902163181281
exclude_2026-06-16,2026-06-16,hanoi,redundancy_jaccard,0.03599910501081258
exclude_2026-06-16,2026-06-16,hanoi,temporal_incremental_coverage,-0.08085352374564019
exclude_2026-06-16,2026-06-16,hanoi,zone_gini,0.044504895690528956
exclude_2026-06-16,2026-06-16,hanoi,zone_jain,0.05001469140834636
exclude_2026-06-16,2026-06-16,hochiminh,heldout_recall_2km,0.2411114239578788
exclude_2026-06-16,2026-06-16,hochiminh,heldout_temporal_demand_capture,0.1216288993083442
exclude_2026-06-16,2026-06-16,hochiminh,mean_service_distance_km,2.6433090557303727
exclude_2026-06-16,2026-06-16,hochiminh,normalized_heldout_capture,0.3321147368208774
exclude_2026-06-16,2026-06-16,hochiminh,p95_service_distance_km,6.794515364387013
exclude_2026-06-16,2026-06-16,hochiminh,redundancy_jaccard,0.002595082755643211
exclude_2026-06-16,2026-06-16,hochiminh,temporal_incremental_coverage,0.02080942115763502
exclude_2026-06-16,2026-06-16,hochiminh,zone_gini,0.03783866185334587
exclude_2026-06-16,2026-06-16,hochiminh,zone_jain,0.042514252616259185
exclude_2026-06-17,2026-06-17,cantho,heldout_recall_2km,0.03117864848650842
exclude_2026-06-17,2026-06-17,cantho,heldout_temporal_demand_capture,-0.010962769441740275
exclude_2026-06-17,2026-06-17,cantho,mean_service_distance_km,3.7759330362008487
exclude_2026-06-17,2026-06-17,cantho,normalized_heldout_capture,0.22949053324163018
exclude_2026-06-17,2026-06-17,cantho,p95_service_distance_km,17.392219625965026
exclude_2026-06-17,2026-06-17,cantho,redundancy_jaccard,0.3662674348264419
exclude_2026-06-17,2026-06-17,cantho,temporal_incremental_coverage,-0.020723992298060077
exclude_2026-06-17,2026-06-17,cantho,zone_gini,0.046054636501808854
exclude_2026-06-17,2026-06-17,cantho,zone_jain,0.050894750727377536
exclude_2026-06-17,2026-06-17,danang,heldout_recall_2km,0.03017282931977283
