temporal_condition,province,block_id,method,selected_site_jaccard_vs_full,full_count,condition_count
exclude_2026-06-16,cantho,0,B5_static_coverage,1.0,9,9
exclude_2026-06-16,cantho,0,B6_evspark_cover,1.0,9,9
exclude_2026-06-16,cantho,1,B5_static_coverage,1.0,8,8
exclude_2026-06-16,cantho,1,B6_evspark_cover,1.0,8,8
exclude_2026-06-16,cantho,2,B5_static_coverage,1.0,8,8
exclude_2026-06-16,cantho,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-16,danang,0,B5_static_coverage,1.0,13,13
exclude_2026-06-16,danang,0,B6_evspark_cover,0.8571428571428571,13,13
exclude_2026-06-16,danang,1,B5_static_coverage,1.0,11,11
exclude_2026-06-16,danang,1,B6_evspark_cover,1.0,11,11
exclude_2026-06-16,danang,2,B5_static_coverage,1.0,11,11
exclude_2026-06-16,danang,2,B6_evspark_cover,1.0,11,11
exclude_2026-06-16,haiphong,0,B5_static_coverage,1.0,8,8
exclude_2026-06-16,haiphong,0,B6_evspark_cover,1.0,8,8
exclude_2026-06-16,haiphong,1,B5_static_coverage,1.0,9,9
exclude_2026-06-16,haiphong,1,B6_evspark_cover,0.8,9,9
exclude_2026-06-16,haiphong,2,B5_static_coverage,1.0,8,8
exclude_2026-06-16,haiphong,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-16,hanoi,0,B5_static_coverage,1.0,36,36
exclude_2026-06-16,hanoi,0,B6_evspark_cover,1.0,36,36
exclude_2026-06-16,hanoi,1,B5_static_coverage,1.0,32,32
exclude_2026-06-16,hanoi,1,B6_evspark_cover,1.0,32,32
exclude_2026-06-16,hanoi,2,B5_static_coverage,1.0,32,32
exclude_2026-06-16,hanoi,2,B6_evspark_cover,0.9393939393939394,32,32
exclude_2026-06-16,hochiminh,0,B5_static_coverage,1.0,49,49
exclude_2026-06-16,hochiminh,0,B6_evspark_cover,1.0,49,49
exclude_2026-06-16,hochiminh,1,B5_static_coverage,1.0,55,55
exclude_2026-06-16,hochiminh,1,B6_evspark_cover,0.9642857142857143,55,55
exclude_2026-06-16,hochiminh,2,B5_static_coverage,1.0,48,48
exclude_2026-06-16,hochiminh,2,B6_evspark_cover,1.0,48,48
exclude_2026-06-17,cantho,0,B5_static_coverage,1.0,9,9
exclude_2026-06-17,cantho,0,B6_evspark_cover,1.0,9,9
exclude_2026-06-17,cantho,1,B5_static_coverage,1.0,8,8
exclude_2026-06-17,cantho,1,B6_evspark_cover,1.0,8,8
exclude_2026-06-17,cantho,2,B5_static_coverage,1.0,8,8
exclude_2026-06-17,cantho,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-17,danang,0,B5_static_coverage,1.0,13,13
exclude_2026-06-17,danang,0,B6_evspark_cover,1.0,13,13
exclude_2026-06-17,danang,1,B5_static_coverage,1.0,11,11
exclude_2026-06-17,danang,1,B6_evspark_cover,1.0,11,11
exclude_2026-06-17,danang,2,B5_static_coverage,1.0,11,11
exclude_2026-06-17,danang,2,B6_evspark_cover,1.0,11,11
exclude_2026-06-17,haiphong,0,B5_static_coverage,1.0,8,8
exclude_2026-06-17,haiphong,0,B6_evspark_cover,1.0,8,8
exclude_2026-06-17,haiphong,1,B5_static_coverage,1.0,9,9
exclude_2026-06-17,haiphong,1,B6_evspark_cover,1.0,9,9
exclude_2026-06-17,haiphong,2,B5_static_coverage,1.0,8,8
exclude_2026-06-17,haiphong,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-17,hanoi,0,B5_static_coverage,1.0,36,36
exclude_2026-06-17,hanoi,0,B6_evspark_cover,0.9459459459459459,36,36
exclude_2026-06-17,hanoi,1,B5_static_coverage,1.0,32,32
exclude_2026-06-17,hanoi,1,B6_evspark_cover,1.0,32,32
exclude_2026-06-17,hanoi,2,B5_static_coverage,1.0,32,32
exclude_2026-06-17,hanoi,2,B6_evspark_cover,1.0,32,32
exclude_2026-06-17,hochiminh,0,B5_static_coverage,1.0,49,49
exclude_2026-06-17,hochiminh,0,B6_evspark_cover,1.0,49,49
exclude_2026-06-17,hochiminh,1,B5_static_coverage,1.0,55,55
exclude_2026-06-17,hochiminh,1,B6_evspark_cover,0.5492957746478874,55,55
exclude_2026-06-17,hochiminh,2,B5_static_coverage,1.0,48,48
exclude_2026-06-17,hochiminh,2,B6_evspark_cover,1.0,48,48
exclude_2026-06-18,cantho,0,B5_static_coverage,1.0,9,9
exclude_2026-06-18,cantho,0,B6_evspark_cover,1.0,9,9
exclude_2026-06-18,cantho,1,B5_static_coverage,1.0,8,8
exclude_2026-06-18,cantho,1,B6_evspark_cover,1.0,8,8
exclude_2026-06-18,cantho,2,B5_static_coverage,1.0,8,8
exclude_2026-06-18,cantho,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-18,danang,0,B5_static_coverage,1.0,13,13
exclude_2026-06-18,danang,0,B6_evspark_cover,0.8571428571428571,13,13
exclude_2026-06-18,danang,1,B5_static_coverage,1.0,11,11
exclude_2026-06-18,danang,1,B6_evspark_cover,1.0,11,11
exclude_2026-06-18,danang,2,B5_static_coverage,1.0,11,11
exclude_2026-06-18,danang,2,B6_evspark_cover,1.0,11,11
exclude_2026-06-18,haiphong,0,B5_static_coverage,1.0,8,8
exclude_2026-06-18,haiphong,0,B6_evspark_cover,1.0,8,8
exclude_2026-06-18,haiphong,1,B5_static_coverage,1.0,9,9
exclude_2026-06-18,haiphong,1,B6_evspark_cover,1.0,9,9
exclude_2026-06-18,haiphong,2,B5_static_coverage,1.0,8,8
exclude_2026-06-18,haiphong,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-18,hanoi,0,B5_static_coverage,1.0,36,36
exclude_2026-06-18,hanoi,0,B6_evspark_cover,0.8947368421052632,36,36
exclude_2026-06-18,hanoi,1,B5_static_coverage,1.0,32,32
exclude_2026-06-18,hanoi,1,B6_evspark_cover,1.0,32,32
exclude_2026-06-18,hanoi,2,B5_static_coverage,1.0,32,32
exclude_2026-06-18,hanoi,2,B6_evspark_cover,1.0,32,32
exclude_2026-06-18,hochiminh,0,B5_static_coverage,1.0,49,49
exclude_2026-06-18,hochiminh,0,B6_evspark_cover,1.0,49,49
exclude_2026-06-18,hochiminh,1,B5_static_coverage,1.0,55,55
exclude_2026-06-18,hochiminh,1,B6_evspark_cover,0.5492957746478874,55,55
exclude_2026-06-18,hochiminh,2,B5_static_coverage,1.0,48,48
exclude_2026-06-18,hochiminh,2,B6_evspark_cover,1.0,48,48
exclude_2026-06-19,cantho,0,B5_static_coverage,1.0,9,9
exclude_2026-06-19,cantho,0,B6_evspark_cover,1.0,9,9
exclude_2026-06-19,cantho,1,B5_static_coverage,1.0,8,8
exclude_2026-06-19,cantho,1,B6_evspark_cover,1.0,8,8
exclude_2026-06-19,cantho,2,B5_static_coverage,1.0,8,8
exclude_2026-06-19,cantho,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-19,danang,0,B5_static_coverage,1.0,13,13
exclude_2026-06-19,danang,0,B6_evspark_cover,0.8571428571428571,13,13
exclude_2026-06-19,danang,1,B5_static_coverage,1.0,11,11
exclude_2026-06-19,danang,1,B6_evspark_cover,1.0,11,11
exclude_2026-06-19,danang,2,B5_static_coverage,1.0,11,11
exclude_2026-06-19,danang,2,B6_evspark_cover,1.0,11,11
exclude_2026-06-19,haiphong,0,B5_static_coverage,1.0,8,8
exclude_2026-06-19,haiphong,0,B6_evspark_cover,1.0,8,8
exclude_2026-06-19,haiphong,1,B5_static_coverage,1.0,9,9
exclude_2026-06-19,haiphong,1,B6_evspark_cover,0.6363636363636364,9,9
exclude_2026-06-19,haiphong,2,B5_static_coverage,1.0,8,8
exclude_2026-06-19,haiphong,2,B6_evspark_cover,1.0,8,8
exclude_2026-06-19,hanoi,0,B5_static_coverage,1.0,36,36
exclude_2026-06-19,hanoi,0,B6_evspark_cover,1.0,36,36
exclude_2026-06-19,hanoi,1,B5_static_coverage,1.0,32,32
exclude_2026-06-19,hanoi,1,B6_evspark_cover,1.0,32,32
exclude_2026-06-19,hanoi,2,B5_static_coverage,1.0,32,32
exclude_2026-06-19,hanoi,2,B6_evspark_cover,1.0,32,32
